Initialization,Activation,Hidden Layers,Cost,Computation Time
he,sigmoid,1,0.659297874585566,0.536668062210083
he,sigmoid,2,0.5484391738083357,1.247182846069336
he,sigmoid,3,0.6823637496917312,1.98872709274292
he,tanh,1,0.3909589185347424,0.593559980392456
he,tanh,2,0.07957621958779278,1.4386839866638184
he,tanh,3,0.3003866794045684,2.0854742527008057
he,tanh,1,0.4913453425962127,0.6088168621063232
he,tanh,2,0.28445643222735967,1.376039981842041
he,tanh,3,0.10119823041278656,2.203903913497925
he,linear,1,0.8562920716261565,0.17996478080749512
he,linear,2,0.8562921433646119,0.4898843765258789
he,linear,3,0.8562922242667798,0.7613317966461182
he,linear,1,0.8562920859927824,0.18568706512451172
he,linear,2,0.8562920676674792,0.5009517669677734
he,linear,3,0.8562921103357394,0.7910940647125244
he,leaky_relu,1,0.4483133044261606,0.21149277687072754
he,leaky_relu,2,0.1110445332903005,0.560988187789917
he,leaky_relu,3,0.04066856696703161,0.929556131362915
he,leaky_relu,1,0.2978214032674551,0.2129511833190918
he,leaky_relu,2,0.09311073929747116,0.5722880363464355
he,leaky_relu,3,0.07643146756363603,0.9174010753631592
normal_xavier,relu,1,0.45094354607559284,0.2238471508026123
normal_xavier,relu,2,0.12225087677059819,0.5961968898773193
normal_xavier,relu,3,0.09526213817038172,0.9560010433197021
normal_xavier,relu,1,0.3103398013796808,0.21330904960632324
normal_xavier,relu,2,0.40452531539289943,0.5963649749755859
normal_xavier,relu,3,0.04011148921200159,0.8889541625976562
normal_xavier,sigmoid,1,0.8614436200992768,0.5547890663146973
normal_xavier,sigmoid,2,0.48858549837067344,1.2706122398376465
normal_xavier,sigmoid,3,0.49948541989889716,1.9698388576507568
normal_xavier,sigmoid,1,0.8598666960806158,0.5410740375518799
normal_xavier,sigmoid,2,0.7468061681351348,1.2432260513305664
normal_xavier,sigmoid,3,0.6855733647308195,1.961963176727295
normal_xavier,tanh,1,0.49358372796318245,0.5995252132415771
normal_xavier,tanh,2,0.20925738648504255,1.336637020111084
normal_xavier,tanh,3,0.07766570465278358,2.1639339923858643
normal_xavier,tanh,1,0.4970182947739474,0.6156322956085205
normal_xavier,tanh,2,0.3551622542068615,1.4209167957305908
normal_xavier,tanh,3,0.22515688643420317,2.1685030460357666
normal_xavier,linear,1,0.8562920549436337,0.17803096771240234
normal_xavier,linear,2,0.8562921104886834,0.49332308769226074
normal_xavier,linear,3,0.8562920897386382,0.7890520095825195
normal_xavier,linear,1,0.8562920576189392,0.17756915092468262
normal_xavier,linear,2,0.8562920983290216,0.483691930770874
normal_xavier,linear,3,0.8562920315334676,0.7510168552398682
normal_xavier,leaky_relu,1,0.41500845990483964,0.21279096603393555
normal_xavier,leaky_relu,2,0.07382134797384936,0.6102869510650635
normal_xavier,leaky_relu,3,0.03619011832632154,0.8976449966430664
normal_xavier,leaky_relu,1,0.4351170724184424,0.21957707405090332
normal_xavier,leaky_relu,2,0.11307306931617711,0.5743300914764404
normal_xavier,leaky_relu,3,0.041836084194420066,0.9149341583251953
uniform_minus_one_one,relu,1,0.3645913540966999,0.21440696716308594
uniform_minus_one_one,relu,2,0.29823007336366847,0.6188259124755859
uniform_minus_one_one,relu,3,0.21673871394888972,0.8977901935577393
uniform_minus_one_one,relu,1,0.4514526414861028,0.21880221366882324
uniform_minus_one_one,relu,2,0.3099842026969897,0.5985629558563232
uniform_minus_one_one,relu,3,0.08927933125690456,0.9196269512176514
uniform_minus_one_one,sigmoid,1,0.8260952166349143,0.5529439449310303
uniform_minus_one_one,sigmoid,2,0.605688036143923,1.267927885055542
uniform_minus_one_one,sigmoid,3,0.41823851185253547,1.9749510288238525
uniform_minus_one_one,sigmoid,1,0.7500792384563055,0.5610039234161377
uniform_minus_one_one,sigmoid,2,0.6650206418811138,1.2603778839111328
uniform_minus_one_one,sigmoid,3,0.6584288449226244,1.95918607711792
uniform_minus_one_one,tanh,1,0.4938386509812132,0.5959818363189697
